Gene,H1,H2,H3,H4,I1,I2,I3,I4
gene:ENSG00000130766,853,677,892,1424,1347,546,546,918
gene:ENSG00000130772,284,275,425,548,596,313,290,330
gene:ENSG00000204138,4209,3473,4915,5836,5972,2438,2721,5107
gene:ENSG00000180198,1835,1593,2699,2415,3555,1878,1569,1897
gene:ENSG00000279443,32,38,45,65,87,27,37,52
gene:ENSG00000180098,1166,965,1411,1820,1791,738,728,1332
gene:ENSG00000120656,1859,1583,2111,2541,2775,1194,1344,2221
gene:ENSG00000188060,66,51,66,89,82,34,33,59
gene:ENSG00000162419,2018,1746,2434,2848,3153,1329,1338,2458
gene:ENSG00000198492,2183,1549,2582,3001,4305,2077,1918,2042
gene:ENSG00000116329,1349,1207,1460,1776,1519,809,782,1705
gene:ENSG00000159023,9663,9000,18075,15994,19577,6807,6486,9084
gene:ENSG00000253304,59,68,112,93,104,69,68,46
gene:ENSG00000116350,3481,2537,4816,5236,7655,2819,3225,2647
gene:ENSG00000116353,1065,1033,1272,1381,1434,785,802,1474
gene:ENSG00000060656,1203,1126,1287,1559,1330,1055,870,1478
gene:ENSG00000162510,204,231,216,248,211,204,154,290
gene:ENSG00000162511,17068,13503,19053,14865,22321,10337,9810,22796
gene:ENSG00000162512,611,519,571,589,525,502,439,844
gene:ENSG00000134644,5896,4255,7348,7402,9363,3541,3814,5131
gene:ENSG00000084628,1725,1495,1662,2126,1957,891,978,2234
gene:ENSG00000060688,1165,1072,1445,1582,1890,978,914,1281
gene:ENSG00000121766,1908,1550,2215,3026,2879,1415,1403,1872
gene:ENSG00000121769,268,396,344,369,235,184,161,334
gene:ENSG00000168528,408,487,420,614,518,290,313,536
gene:ENSG00000142910,160,189,204,183,160,136,100,197
gene:ENSG00000121764,266,219,291,284,322,319,167,317
gene:ENSG00000162517,876,689,1062,1225,1610,863,726,811
gene:ENSG00000084636,720,689,723,959,786,599,486,995
gene:ENSG00000121753,488,426,449,546,444,489,402,529
gene:ENSG00000134668,481,421,448,503,493,309,283,687
gene:ENSG00000184007,10205,10439,14465,16642,20948,7888,8863,13555
gene:ENSG00000121774,4493,4021,6613,6399,8829,3728,3925,4731
gene:ENSG00000121775,881,823,975,1177,1222,552,479,979
gene:ENSG00000025800,3044,2928,4004,4761,5496,2305,2629,3533
gene:ENSG00000084652,1462,1044,1836,2267,3674,1907,1824,1383
gene:ENSG00000160050,240,197,305,421,460,180,238,150
